"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","isbn","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2018","1","1","If I Had a Hammer: More Than 100 Easy Fixes and Weekend Projects",,"Andrea Ridout","Home Design & Décor, Nonfiction","HarperCollins Publishers Inc.","2008"
"Physical","Horizon","VIDEODISC","2018","1","1","Set up, aquascape & maintain saltwater aquarium / Mineo Production Co. ; Clear Vision Studios ; written by Jaime Jarosz, Michael Murphy ; director/producer, Michael Murphy.",,,"Marine aquariums, Marine aquarium fishes, Instructional films","Pet Video Library,","[2009]"
"Digital","Freegal","SONG","2018","1","1","Ocean Legs",,"OWEL",,,
"Physical","Horizon","BOOK","2018","1","8","Home address : ISS : International Space Station / by James Buckley Jr.",,"Buckley, James, Jr., 1963-","Space stations Juvenile literature","Penguin Young Readers,","[2015]"
"Digital","Freegal","SONG","2018","1","1","Any Other Way (Live)",,"Various Artists",,,
"Digital","Freegal","SONG","2018","1","1","Evergreen",,"Matthew Sweet",,,
"Physical","Horizon","BOOK","2018","1","1","True south : Henry Hampton and Eyes on the prize, the landmark television series that reframed the civil rights movement / Jon Else.",,"Else, Jon, 1944-","Hampton Henry 1940 1998 Criticism and interpretation, Eyes on the prize Television program, Civil rights movements United States History 20th century, African Americans on television, Race relations on television, United States Race relations","Viking,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2018","1","4","The Ringworld Throne: Ringworld Series, Book 3 (unabridged) (Unabridged)",,"Larry Niven","Fiction, Science Fiction","Blackstone Audio, Inc.","2012"
"Digital","OverDrive","AUDIOBOOK","2018","1","1","Football Champ: Football Genius Series, Book 3 (unabridged) (Unabridged)",,"Tim Green","Juvenile Fiction, Juvenile Literature","Full Cast Audio","2010"
"Digital","OverDrive","EBOOK","2018","1","1","Superman Versus Bizarro: I Can Read Level 2",,"Chris Strathearn","Beginning Reader, Comic and Graphic Books, Juvenile Fiction","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2018","1","4","Mysterious patterns : finding fractals in nature / Sarah C. Campbell ; photographs by Sarah C. Campbell and Richard P. Campbell.",,"Campbell, Sarah C., 1966-","Shapes Juvenile literature, Nature Juvenile literature, Shape","Boyds Mills Press, an imprint of Highlights,","[2014]"
"Physical","Horizon","BOOK","2018","1","1","The eastern shore / Ward Just.",,"Just, Ward S.","Newspaper editors Fiction, Life change events Fiction","Houghton Mifflin Harcourt,","2016."
"Physical","Horizon","VIDEODISC","2018","1","3","Star trek, Voyager. Season seven / Paramount Pictures.",,,"Janeway Kathryn Fictitious character 2336 Drama, Interplanetary voyages Drama, Science fiction television programs, Video recordings for the hearing impaired","Paramount Pictures,","[2004]"
"Physical","Horizon","LARGEPRINT","2018","1","3","Winter solstice : a novel / Elin Hilderbrand.",,"Hilderbrand, Elin","Dysfunctional families Fiction, Families Massachusetts Nantucket Island Fiction, Nantucket Island Mass Fiction, Large type books, Domestic fiction, Christmas fiction","Little, Brown and Company,","2017."
"Digital","Freegal","SONG","2018","1","1","Invisible",,"Joe Satriani",,,
"Digital","OverDrive","EBOOK","2018","1","2","I Like You: Hospitality Under the Influence",,"Amy Sedaris","Cooking & Food, Crafts, Humor (Nonfiction), Nonfiction","Hachette Digital, Inc.","2009"
"Physical","Horizon","VIDEODISC","2018","1","2","Secondhand lions / New Line Cinema ; produced by David Kirschner, Scott Ross, Corey Sienega ; written and directed by Tim McCanlies.",,,"Uncles Texas Drama, Families Drama, Texas Drama, Feature films, Fiction films, Coming of age films, Comedy films, Video recordings for the hearing impaired","New Line Video,","[2004]"
"Physical","Horizon","BOOK","2018","1","1","See you next year / written by Andrew Larsen ; illustrated by Todd Stewart.",,"Larsen, Andrew, 1960-","Vacations Juvenile fiction, Beaches Juvenile fiction, Friendship Juvenile fiction","Owlkids Books Inc.,","2015."
"Digital","Freegal","SONG","2018","1","1","The Monostat Seven",,"Habitual Sex Offenders",,,
"Physical","Horizon","BOOK","2018","1","6","And the dish ran away with the spoon / Janet Stevens and Susan Stevens Crummel ; illustrated by Janet Stevens.",,"Stevens, Janet,","Nursery rhymes Juvenile fiction, Characters in literature Fiction","Harcourt,","2001."
"Digital","OverDrive","EBOOK","2018","1","3","Some Rain Must Fall: and other stories",,"Michel Faber","Fiction, Literature, Short Stories","Canongate Books","2011"
"Physical","Horizon","BOOK","2018","1","2","Clouds : a compare and contrast book / by Katharine Hall.",,"Hall, Katharine, 1989-","Clouds Juvenile literature","Arbordale Publishing,","[2015]"
"Physical","Horizon","BOOK","2018","1","1","The flight of Jesse Leroy Brown / Theodore Taylor.",,"Taylor, Theodore, 1921-2006","Brown Jesse Leroy, United States Navy Aviation Biography, Fighter pilots United States Biography, African American air pilots Biography, Korean War 1950 1953 Personal narratives American","Avon Books,","[1998]"
"Physical","Horizon","SOUNDDISC","2018","1","1","Scandinavians : [in search of the soul of the north] / Robert Ferguson.",,"Ferguson, Robert, 1948-","Scandinavians, National characteristics Scandinavian, Scandinavia History, Audiobooks","Tantor Audio,","[2017]"
"Physical","Horizon","BOOK","2018","1","1","Last things : a graphic memoir of loss and love / Marissa Moss.",,"Moss, Marissa","Moss Marissa Family Comic books strips etc, Stahl Harvey Health Comic books strips etc, Stahl Harvey Death and burial Comic books strips etc, Terminally ill Family relationships Comic books strips etc, Amyotrophic lateral sclerosis Patients Biography Comic books strips etc, Grief Comic books strips etc, Biographical comics, Comics Graphic works, Biographies, Autobiographies, Graphic novels","Conari Press,","[2017]"
"Physical","Horizon","SOUNDDISC","2018","1","3","Late registration / Kanye West.",,"West, Kanye","Rap Music, Popular music 2001 2010","Roc-A-Fella Records,","[2005]"
"Physical","Horizon","BOOK","2018","1","1","The jerk magnet / Melody Carlson.",,"Carlson, Melody","Beauty Personal Juvenile fiction, Interpersonal relations Juvenile fiction, Self perception Juvenile fiction, High schools Juvenile fiction, Schools Fiction, Christian life Juvenile fiction, Family life California Fiction, Remarriage Juvenile fiction, California Juvenile fiction","Revell,","2012."
"Digital","Freegal","SONG","2018","1","1","Amanitas",,"Les Claypool",,,
"Physical","Horizon","BOOK","2018","1","1","The new kids : big dreams and brave journeys at a high school for immigrant teens / Brooke Hauser.",,"Hauser, Brooke","International High School New York N Y Students Case studies, Children of immigrants Education Secondary New York State New York Case studies, High school seniors New York State New York Case studies","Free Press,","2011."
"Physical","Horizon","BOOK","2018","1","1","One beastly beast : two aliens, three inventors, four fantastic tales / by Garth Nix ; illustrated by Brian Biggs.",,"Nix, Garth","Fantasy, Short stories","Eos,","2007."
"Physical","Horizon","SOUNDDISC","2018","1","3","The anthology, 1947-1972 / Muddy Waters.",,"Muddy Waters, 1915-1983","Blues Music","MCA,","[2001]"
"Physical","Horizon","BOOK","2018","1","6","Everyone... / Christopher Silas Neal.",,"Neal, Christopher Silas","Emotions Juvenile fiction","Candlewick Press,","2016."
"Physical","Horizon","VIDEODISC","2018","1","1","Era uma vez eu, Verônica = Once upon a time there was I, Verônica / Urban Distribution ; Ancine ; avec la participation du Fonds Sud Cinéma, le Centre National du Cinéma et de l'Image Animée, l'Insititut Français ; con el apoyo de Cine en Construccion ; produzido por Rec Produtores Associados, Dezenove Som e Imagens ; em coprodução com Urban Factory ; produtores associados, Movie&Art, Quanta ; BR Petrobras ; produzido por João Vieira Jr, Sara Silveira, Chico Ribeiro, Maria Ionescu, Ofir Figueiredo ; roteiro e direção, Marcelo Gomes.",,,"Vocational guidance Drama, Fathers and daughters Drama, Fiction films, Feature films","[Publisher not identified],","[2014]"
"Physical","Horizon","BOOK","2018","1","2","Ginny Louise and the school showdown / by Tammi Sauer ; illustrated by Lynn Munsinger.",,"Sauer, Tammi","Bullying in schools Juvenile fiction, Cheerfulness Juvenile fiction, Schools Juvenile fiction, Hedgehogs Juvenile fiction, Animals Juvenile fiction, Bullying Fiction","Disney/Hyperion Books,","2015."
"Digital","Freegal","SONG","2018","1","4","Lies of Summer",,"Aimee Mann",,,
"Physical","Horizon","BOOK","2018","1","2","Read me a story, Stella / [written and illustrated by] Marie-Louise Gay.",,"Gay, Marie-Louise","Brothers and sisters Fiction, Reading Juvenile fiction, Stella Fictitious character Gay Juvenile fiction","Groundwood Books,","2013."
"Physical","Horizon","BOOK","2018","1","20","The how not to die cookbook : 100+ recipes to help prevent and reverse disease / Michael Greger, M.D., FACLM with Gene Stone ; recipes by Robin Robertson.",,"Greger, Michael","Nutrition, Food preferences, Self care Health, Cookbooks","Flatiron Books,","2017."
"Physical","Horizon","VIDEODISC","2018","1","1","Katti batti / UTV Motion Pictures ; Emmay Entertainment ; produced by Siddarth Roy Kapur ; screenplay, Anshul Singhal, Nikhil Advani ; dialogues, Anshul Singhal ; directed by Nikhil Advani.",,,"Man woman relationships India Drama, Architects Drama, Feature films, Fiction films, Musical films, Melodramas Motion pictures, Motion pictures Hindi","Reliance Big Entertainment,","[2015]"
"Physical","Horizon","BOOK","2018","1","1","Me too! / Valeri Gorbachev.",,"Gorbachev, Valeri","Snow Juvenile fiction, Chipmunks Juvenile fiction, Bears Juvenile fiction","Holiday House,","[2013]"
"Digital","OverDrive","EBOOK","2018","1","4","Middle School, the Worst Years of My Life: Middle School Series, Book 1",,"James Patterson","Comic and Graphic Books, Humor (Fiction), Juvenile Fiction","Hachette Digital, Inc.","2013"
"Digital","OverDrive","EBOOK","2018","1","2","The New Better Off: Reinventing the American Dream",,"Courtney E. Martin","Business, Careers, Nonfiction, Sociology","Hachette Digital, Inc.","2016"
"Physical","Horizon","SOUNDDISC","2018","1","1","Sing A to Z / Sharon, Lois & Bram.",,"Sharon, Lois, and Bram","Childrens songs Juvenile sound recordings, Alphabet Songs and music Juvenile sound recordings, Songs","Casablanca Kids/Elephant Records,","[1990]"
"Digital","OverDrive","EBOOK","2018","1","3","Shelter Me: Second Chance Ranch Series, Book 1",,"CATHERINE MANN","Fiction, Literature, Romance","Penguin Group (USA), Inc.","2014"
"Digital","Freegal","SONG","2018","1","1","Lotus Eater",,"Foster The People",,,
"Physical","Horizon","SOUNDDISC","2018","1","1","Say you're one of them / Uwem Akpan.",,"Akpan, Uwem","Children Africa Fiction, War victims Fiction, Short stories","Hachette Audio,","[2009]"
"Physical","Horizon","BOOK","2018","1","4","A rare benedictine / Ellis Peters.",,"Peters, Ellis, 1913-1995","Cadfael Brother Fictitious character Fiction, Shrewsbury England History Fiction, Great Britain History Stephen 1135 1154 Fiction, Historical fiction, Detective and mystery fiction","Mysterious Press,","[1988]"
"Digital","OverDrive","AUDIOBOOK","2018","1","4","The Good Father (Unabridged)",,"Noah Hawley","Fiction, Literature","Books on Tape","2012"
"Physical","Horizon","BOOK","2018","1","3","Molly & Pim and the millions of stars / Martine Murray.",,"Murray, Martine","Mothers Juvenile fiction, Friendship Juvenile fiction, Self acceptance Juvenile fiction, Magic Juvenile fiction, Australia Fiction","Alfred A. Knopf,","[2017]"
"Physical","Horizon","SOUNDDISC","2018","1","2","Do I make myself clear? : [why writing well matters] / by Harold Evans.",,"Evans, Harold, 1928-","English language Rhetoric, English language Grammar, English language Usage, Audiobooks","Blackstone Audio,","[2017]"
"Digital","OverDrive","EBOOK","2018","1","2","Queen of Spades",,"Michael Shou-Yung Shum","Fantasy, Fiction, Literature, Suspense","Lightning Source Inc","2017"
"Physical","Horizon","BOOK","2018","1","1","Supermarket healthy : recipes & know-how for eating well without spending a lot / Melissa d'Arabian with Raquel Pelzel ; photographs by Tina Rupp.",,"D'Arabian, Melissa","Low budget cooking, Cookbooks","Clarkson Potter/Publishers,","[2014]"
"Physical","Horizon","BOOK","2018","1","1","The people vs Cashmere 2 / Karen Williams.",,"Williams, Karen (Karen Lynn)","African Americans Fiction, Man woman relationships Fiction, Mothers and daughters Fiction, Parent and child Fiction, Daughters Fiction, Prisoners Fiction, Urban fiction, Domestic fiction, Love stories","Urban Books,","[2014]"
"Digital","OverDrive","EBOOK","2018","1","1","Colonel Sandhurst to the Rescue: Poor Relation Series, Book 5",,"M. C. Beaton","Fiction, Romance","RosettaBooks","2014"
"Digital","Freegal","SONG","2018","1","1","What Makes You Beautiful (Live)",,"The Piano Guys",,,
"Physical","Horizon","BOOK","2018","1","1","Jessica Jones : Alias. [Vol. 3] / Brian Michael Bendis, writer ; Michael Gaydos, artist ; Matt Hollingsworth, colorist ; Mark Bagley, Al Vey & Dean White, Dream sequence ; Richard Starkings and Comicraft's Wes Abbott & Jason Levine (#10 & #16) and Cory Petit (#17 & #21), letterers.",,"Bendis, Brian Michael","Superheroes Comic books strips etc, Conspiracies Comic books strips etc, Private investigators Comic books strips etc, Graphic novels, Science fiction comic books strips etc","Marvel Comics,","[2015]"
"Physical","Horizon","BOOK","2018","1","1","The passive solar house / James Kachadorian.",,"Kachadorian, James","Solar heating, Solar heating Design, Solar heating Equipment and supplies","Chelsea Green,","[2006]"
"Physical","Horizon","BOOK","2018","1","1","The night of wishes : or, The satanarchaeolidealcohellish notion potion / Michael Ende ; translated from the German by Heike Schwarzbauer and Rick Takvorian ; pictures by Regina Kehn.",,"Ende, Michael","Magic Juvenile fiction, Wizards Juvenile fiction, Humorous stories, Humorous fiction, Paranormal fiction","New York Review of Books,","[2017]"
